crn,course_code,name,days,start_time,end_time,room_num,instructor,semester,mode,status
20536,CRIM 3314,Terrorism and Homeland Security,TDB,TDB,TDB,TBA,Henda Yao Hsu,Fall 2023,100% Online,Opened
20538,CRIM 4306,Service Learning,H,1600,1850,Bayou Building 1313,Everette Penn,Fall 2023,> or equal to 50% Online,Opened
20539,CRIM 4330,Criminal Investigation,T,830,1120,TBA,Veronica Segovia,Fall 2023,> or equal to 50% Online,Opened
20540,CRIM 4331,Prison and Society,TDB,TDB,TDB,TBA,To be Announced,Fall 2023,100% Online,Opened
20542,CRIM 4334,Criminal Law,TDB,TDB,TDB,TBA,To be Announced,Fall 2023,100% Online,Opened
20544,CRIM 4338,Policing and Society,H,1300,1550,Bayou Building 2122,Everette Penn,Fall 2023,> or equal to 50% Online,Opened
20545,CRIM 4385,Research Methods,TDB,TDB,TDB,TBA,Kimberly Dawn Dodson,Fall 2023,100% Online,Opened
20547,CRIM 4385,Research Methods,H,1600,1850,Bayou Building 1215,Kimberly Dawn Dodson,Fall 2023,< 50% online,Opened
20548,CRIM 5036,Criminological Research and Statistics I,H,1900,2150,Bayou Building 1215,Kimberly Dawn Dodson,Fall 2023,< 50% online,Opened
20549,CRIM 5136,Race and Crime,TDB,TDB,TDB,TBA,Everette Penn,Fall 2023,100% Online,Opened
20550,CRIM 5331,Advanced Criminology,TDB,TDB,TDB,TBA,Henda Yao Hsu,Fall 2023,100% Online,Opened
20551,CRIM 5336,Law and Society,T,1900,2150,Bayou Building 1135,To be Announced,Fall 2023,> or equal to 50% Online,Opened
23643,CSCI 1320,C Programming,TH,1130,1250,Delta Building 234,Sayed Banawan,Fall 2023,100% F2F w/supplmtnl web,Opened
23704,CSCI 1470,Computer Science I,TH,1000,1150,Delta Building 204,Sadegh Davari,Fall 2023,100% F2F w/supplmtnl web,Opened
23705,CSCI 1470,Computer Science I,TH,1600,1750,Delta Building 203,"Charles E Phillips,",Fall 2023,100% F2F w/supplmtnl web,Opened
23706,CSCI 1471,Computer Science II,TH,1000,1150,Delta Building 203,"Charles E Phillips,",Fall 2023,100% F2F w/supplmtnl web,Opened
23707,CSCI 1471,Computer Science II,TH,1300,1450,Delta Building 203,"Charles E Phillips,",Fall 2023,100% F2F w/supplmtnl web,Opened
23645,CSCI 2305,Data Structures for Science & Engineering,TH,1300,1420,Delta Building 234,Sayed Banawan,Fall 2023,100% F2F w/supplmtnl web,Opened
